```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
IT::colosseo	Colosseo			OK	H	
IT::comacchio	Comacchio			OK	H	
IT::como	Como			OK	H	
IT::compiano	Compiano			OK	H	
IT::conegliano	Conegliano			OK	H	
IT::corciano	Corciano			OK	H	
IT::coreglia-antelminelli	Coreglia Antelminelli			OK	H	
IT::cori	Cori			OK	H	
IT::corigliano-d-otranto	Corigliano d'Otranto			OK	H	apostrophe manquante dans place_id
IT::corinaldo	Corinaldo			OK	H	
IT::corno-alle-scale	Corno alle Scale			OK	H	capitalisation standard
IT::cortina-dampezzo	Cortina d'Ampezzo			OK	H	apostrophe manquante dans place_id
IT::cortona	Cortona			OK	H	
IT::cosenza	Cosenza			OK	H	
IT::costa-paradiso	Costa Paradiso			OK	H	
IT::costa-trabocchi	Costa dei Trabocchi			?	M	probablement dei Trabocchi
IT::courmayeur	Courmayeur			OK	H	
IT::crecchio	Crecchio			OK	H	
IT::cremona	Cremona			OK	H	
IT::crespi-d-adda	Crespi d'Adda			OK	H	apostrophe manquante dans place_id
IT::cuneo	Cuneo			OK	H	
IT::cutigliano	Cutigliano			OK	H	
IT::delta-del-po	Delta del Po			OK	H	capitalisation standard
IT::demonte	Demonte			OK	H	
IT::desenzano-del-garda	Desenzano del Garda			OK	H	
IT::diamante	Diamante			OK	H	
IT::dobbiaco	Dobbiaco			OK	H	
IT::dolceacqua	Dolceacqua			OK	H	
IT::dorgali	Dorgali			OK	H	
IT::dozza	Dozza			OK	H	
IT::dronero	Dronero			OK	H	
IT::erto-e-casso	Erto e Casso			OK	H	capitalisation standard
IT::esanatoglia	Esanatoglia			OK	H	
IT::etna	Etna			OK	H	
IT::favignana	Favignana			OK	H	
IT::feltre	Feltre			OK	H	
IT::ferrare	Ferrara			?	M	doublon probable français/italien, vérifier IT::ferrara
IT::fiesole	Fiesole			OK	H	
IT::figline-valdarno	Figline Valdarno			OK	H	
IT::filicudi	Filicudi			OK	H	
IT::fiorenzuola-di-focara	Fiorenzuola di Focara			OK	H	capitalisation standard
IT::firenze	Firenze			OK	H	
IT::fiuggi	Fiuggi			OK	H	
IT::foggia	Foggia			OK	H	
IT::follina	Follina			OK	H	
IT::fondi	Fondi			OK	H	
IT::fontana-di-trevi	Fontana di Trevi			OK	H	capitalisation standard
IT::fontanellato	Fontanellato			OK	H	
IT::fonte-colombo	Santuario di Fonte Colombo			?	M	nom_local = sanctuaire, pas ville
IT::forgaria-nel-friuli	Forgaria nel Friuli			OK	H	capitalisation standard
IT::foro-palatino	Foro Palatino			?	M	site archéologique, pas ville
IT::forte-dei-marmi	Forte dei Marmi			OK	H	capitalisation standard
IT::frontino	Frontino			OK	H	
IT::frosolone	Frosolone			OK	H	
IT::fumone	Fumone			OK	H	
IT::gaeta	Gaeta			OK	H	
IT::gaiole-in-chianti	Gaiole in Chianti			OK	H	
IT::gallipoli	Gallipoli			OK	H	
IT::garessio	Garessio			OK	H	
IT::genova	Genova			OK	H	
IT::gerace	Gerace			OK	H	
IT::giglio-castello	Giglio Castello			OK	H	
IT::gorizia	Gorizia			OK	H	
IT::gradara	Gradara			OK	H	
IT::grado	Grado			OK	H	
IT::grazie-mantoue	Grazie			?	M	doublon probable français/italien, vérifier lieu exact
IT::grazzano-visconti	Grazzano Visconti			OK	H	
IT::gressoney-saint-jean	Gressoney-Saint-Jean			OK	H	
IT::greve-in-chianti	Greve in Chianti			OK	H	capitalisation standard
IT::grizzana-morandi	Grizzana Morandi			OK	H	
IT::grottaglie	Grottaglie			OK	H	
IT::grottammare	Grottammare			OK	H	
IT::grotte-di-caglieron	Grotte di Caglieron			OK	H	capitalisation standard
IT::guardiagrele	Guardiagrele			OK	H	
IT::guarene	Guarene			OK	H	
IT::iglesias	Iglesias			OK	H	
IT::imperia	Imperia			OK	H	
IT::impruneta	Impruneta			OK	H	
IT::ingria	Ingria			OK	H	
IT::iseo	Iseo			OK	H	
IT::isernia	Isernia			OK	H	
IT::isola-del-liri	Isola del Liri			OK	H	capitalisation standard
IT::isola-della-cona	Isola della Cona			OK	H	capitalisation standard
IT::isole-egadi	Isole Egadi			OK	H	
IT::isole-eolie	Isole Eolie			OK	H	
IT::itri	Itri			OK	H	
IT::la-maddalena	La Maddalena			OK	H	
IT::la-morra	La Morra			OK	H	
IT::la-spezia	La Spezia			OK	H	
IT::la-verna	La Verna			OK	H	
IT::labro	Labro			OK	H	
IT::lacedonia	Lacedonia			OK	H	
IT::laghi-park	Laghi Park			?	M	nom générique, vérifier lieu exact
IT::laghi-suviana-brasimone	Laghi Suviana-Brasimone			?	M	zone naturelle, pas ville
IT::lago-di-cornino	Lago di Cornino			?	M	lac, pas ville
IT::lago-di-fimon	Lago di Fimon			?	M	lac, pas ville
IT::lajatico	Lajatico			OK	H	
IT::lamezia-terme	Lamezia Terme			OK	H	
IT::lampedusa	Lampedusa			OK	H	
IT::lanciano	Lanciano			OK	H	
IT::lanzo-torinese	Lanzo Torinese			OK	H	
IT::laquila	L'Aquila			OK	H	apostrophe manquante dans place_id
IT::lari	Lari			OK	H	
IT::larino	Larino			OK	H	
IT::laterza	Laterza			OK	H	
IT::laveno-mombello	Laveno-Mombello			OK	H	
IT::lazise	Lazise			OK	H	
IT::le-castella	Le Castella			OK	H	
IT::lecce	Lecce			OK	H	
IT::levanto	Levanto			OK	H	
IT::lido-di-camaiore	Lido di Camaiore			OK	H	capitalisation standard
IT::limone-piemonte	Limone Piemonte			OK	H	
IT::limone-sul-garda	Limone sul Garda			OK	H	
IT::lipari	Lipari			OK	H	
IT::lizzano-in-belvedere	Lizzano in Belvedere			OK	H	capitalisation standard
IT::lucca	Lucca			OK	H	
IT::lucera	Lucera			OK	H	
IT::lucignano	Lucignano			OK	H	
IT::lugo-di-vicenza	Lugo di Vicenza			OK	H	capitalisation standard
IT::luino	Luino			OK	H	
IT::macerata-feltria	Macerata Feltria			OK	H	
IT::magliano-in-toscana	Magliano in Toscana			OK	H	capitalisation standard
IT::maiori	Maiori			OK	H	
IT::manfredonia	Manfredonia			OK	H	
IT::maratea	Maratea			OK	H	
IT::marettimo	Marettimo			OK	H	
IT::marina-di-pisa	Marina di Pisa			OK	H	
IT::marostica	Marostica			OK	H	
IT::martina-franca	Martina Franca			OK	H	
IT::massa-marittima	Massa Marittima			OK	H	
IT::matelica	Matelica			OK	H	
IT::matera	Matera			OK	H	
IT::medicina	Medicina			OK	H	
IT::melfi	Melfi			OK	H	
IT::menaggio	Menaggio			OK	H	
IT::merano	Merano			OK	H	
IT::mercatello-sul-metauro	Mercatello sul Metauro			OK	H	capitalisation standard
IT::messina	Messina			OK	H	
IT::milano	Milano			OK	H	
IT::minori	Minori			OK	H	
IT::minturno	Minturno			OK	H	
IT::mira	Mira			OK	H	
IT::modene	Modena			?	M	doublon probable français/italien, vérifier IT::modena
IT::mombaldone	Mombaldone			OK	H	
IT::mondavio	Mondavio			OK	H	
IT::mondolfo	Mondolfo			OK	H	
IT::monforte-d-alba	Monforte d'Alba			OK	H	apostrophe manquante dans place_id
IT::monopoli	Monopoli			OK	H	
IT::monreale	Monreale			OK	H	
IT::monselice	Monselice			OK	H	
IT::montagnana	Montagnana			OK	H	
IT::montalcino	Montalcino			OK	H	
IT::monte-sant-angelo	Monte Sant'Angelo			OK	H	apostrophe manquante dans place_id
IT::monte-sole	Monte Sole			?	M	zone historique/parc, pas ville
IT::montecarlo-toscana	Montecarlo			?	M	ville = Montecarlo (Toscane), pas Monaco
IT::montecassiano	Montecassiano			OK	H	
```
