```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
FR::moustiers-sainte-marie	Moustiers-Sainte-Marie			OK	H	correction trait d'union
FR::mouzon	Mouzon			OK	H	
FR::moyenmoutier	Moyenmoutier			OK	H	
FR::mulhouse	Mulhouse			OK	H	
FR::munster	Munster			OK	H	
FR::murat	Murat			OK	H	
FR::muret	Muret			OK	H	
FR::murol	Murol			OK	H	
FR::murs	Murs			OK	H	
FR::musee-art-moderne-paris	Musée d'Art Moderne de Paris			?	M	site spécifique, vérifier granularité
FR::musee-arts-decoratifs-paris	Musée des Arts Décoratifs			?	M	site spécifique, vérifier granularité
FR::musee-arts-metiers-paris	Musée des Arts et Métiers			?	M	site spécifique, vérifier granularité
FR::musee-cluny	Musée de Cluny			?	M	site spécifique, vérifier granularité
FR::musee-guimet	Musée Guimet			?	M	site spécifique, vérifier granularité
FR::musee-louvre	Musée du Louvre			?	M	site spécifique, vérifier granularité
FR::musee-montmartre	Musée de Montmartre			?	M	site spécifique, vérifier granularité
FR::musee-orangerie	Musée de l'Orangerie			?	M	site spécifique, vérifier granularité
FR::musee-orsay	Musée d'Orsay			?	M	site spécifique, vérifier granularité
FR::musee-picasso-paris	Musée Picasso			?	M	site spécifique, vérifier granularité
FR::musee-quai-branly	Musée du Quai Branly			?	M	site spécifique, vérifier granularité
FR::musee-rodin-paris	Musée Rodin			?	M	site spécifique, vérifier granularité
FR::museum-histoire-naturelle-paris	Muséum d'Histoire Naturelle			?	M	site spécifique, vérifier granularité
FR::najac	Najac			OK	H	
FR::nancy	Nancy			OK	H	
FR::nans-sous-sainte-anne	Nans-sous-Sainte-Anne			OK	H	correction trait d'union
FR::nanterre	Nanterre			OK	H	
FR::nantes	Nantes			OK	H	
FR::nantua	Nantua			OK	H	
FR::narbonne	Narbonne			OK	H	
FR::navacelles	Navacelles			OK	H	
FR::navarrenx	Navarrenx			OK	H	
FR::naves	Naves			OK	H	
FR::nemours	Nemours			OK	H	
FR::nerac	Nérac			OK	H	correction accent
FR::neris-les-bains	Néris-les-Bains			OK	H	correction trait d'union et accent
FR::neuf-brisach	Neuf-Brisach			OK	H	correction trait d'union
FR::neufchateau	Neufchâteau			OK	H	correction accent
FR::neuilly-sur-seine	Neuilly-sur-Seine			OK	H	correction trait d'union
FR::neuvy-saint-sepulchre	Neuvy-Saint-Sépulchre			OK	H	correction trait d'union et accent
FR::nevache	Névache			OK	H	correction accent
FR::nevers	Nevers			OK	H	
FR::nice	Nice			OK	H	
FR::nimes	Nîmes			OK	H	correction accent
FR::niort	Niort			OK	H	
FR::nogent	Nogent			OK	H	
FR::nogent-sur-marne	Nogent-sur-Marne			OK	H	correction trait d'union
FR::noirmoutier-en-l-ile	Noirmoutier-en-l'Île			OK	H	correction trait d'union et accent
FR::nonza-tour	Tour de Nonza			?	M	site spécifique (tour), vérifier granularité
FR::noyers-sur-serein	Noyers			?	M	nom anglais bizarre "Route de Noyers"
FR::noyon	Noyon			OK	H	
FR::nyons	Nyons			OK	H	
FR::obernai	Obernai			OK	H	
FR::oingt	Oingt			OK	H	
FR::oiron	Oiron			OK	H	
FR::oloron-sainte-marie	Oloron-Sainte-Marie			OK	H	correction trait d'union
FR::oppede-le-vieux	Oppède			OK	H	correction accent, retrait "le Vieux"
FR::oradour-sur-glane	Oradour-sur-Glane			OK	H	correction trait d'union
FR::orange	Orange			OK	H	
FR::orcieres-merlette	Orcières-Merlette			OK	H	correction accent, retrait "1850"
FR::orcival	Orcival			OK	H	
FR::orleans	Orléans			OK	H	correction accent
FR::ornans	Ornans			OK	H	
FR::ospedale	Ospedale			OK	H	
FR::paimboeuf	Paimbœuf			OK	H	correction ligature oe
FR::paimpol	Paimpol			OK	H	
FR::paimpont	Paimpont			OK	H	
FR::palais-decouverte	Palais de la Découverte			?	M	site spécifique, vérifier granularité
FR::pantin	Pantin			OK	H	
FR::paray-le-monial	Paray-le-Monial			OK	H	correction trait d'union
FR::parentis-en-born	Parentis-en-Born			OK	H	correction trait d'union
FR::paris	Paris			OK	H	
FR::paris-12e	Paris 12e			?	M	arrondissement, vérifier granularité
FR::paris-16e	Paris 16e			?	M	arrondissement, vérifier granularité
FR::paris-18e	Paris 18e			?	M	arrondissement, vérifier granularité
FR::paris-1er	Paris 1er			?	M	arrondissement, vérifier granularité
FR::paris-20e	Paris 20e			?	M	arrondissement, vérifier granularité
FR::paris-4e	Paris 4e			?	M	arrondissement, vérifier granularité
FR::paris-5e	Paris 5e			?	M	arrondissement, vérifier granularité
FR::paris-6e	Paris 6e			?	M	arrondissement, vérifier granularité
FR::paris-7e	Paris 7e			?	M	arrondissement, vérifier granularité
FR::paris-8e	Paris 8e			?	M	arrondissement, vérifier granularité
FR::parthenay	Parthenay			OK	H	
FR::pau	Pau			OK	H	
FR::pauillac	Pauillac			OK	H	
FR::penne-d-agenais	Penne-d'Agenais			OK	H	correction trait d'union et apostrophe
FR::perigueux	Périgueux			OK	H	correction accent
FR::peronne	Péronne			OK	H	correction accent
FR::perouges	Pérouges			OK	H	correction accent
FR::perpignan	Perpignan			OK	H	
FR::perros-guirec	Perros-Guirec			OK	H	correction trait d'union
FR::petit-palais	Petit Palais			?	M	site spécifique, vérifier granularité
FR::pezenas	Pézenas			OK	H	correction accent
FR::phalsbourg	Phalsbourg			OK	H	
FR::piana	Piana			OK	H	
FR::picquigny	Picquigny			OK	H	
FR::pierrefonds	Pierrefonds			OK	H	
FR::pigna	Pigna			OK	H	
FR::piriac-sur-mer	Piriac-sur-Mer			OK	H	correction trait d'union
FR::ploermel	Ploërmel			OK	H	correction tréma
FR::plombieres-les-bains	Plombières-les-Bains			OK	H	correction trait d'union et accent
FR::plougastel-daoulas	Plougastel-Daoulas			OK	H	correction trait d'union
FR::ploumanach	Ploumanac'h			?	M	nom anglais bizarre "Natural Harbor", orthographe locale?
FR::poissy	Poissy			OK	H	
FR::poitiers	Poitiers			OK	H	
FR::polignac	Polignac			OK	H	
FR::poligny	Poligny			OK	H	
FR::pompadour	Arnac-Pompadour			?	M	nom local différent du slug
FR::pont-a-mousson	Pont-à-Mousson			OK	H	correction trait d'union et accent
FR::pont-audemer	Pont-Audemer			OK	H	correction trait d'union
FR::pont-aven	Pont-Aven			OK	H	correction trait d'union
FR::pont-en-royans	Pont-en-Royans			OK	H	correction trait d'union
FR::pontarlier	Pontarlier			OK	H	
FR::pontivy	Pontivy			OK	H	
FR::pontoise	Pontoise			OK	H	
FR::pornic	Pornic			OK	H	
FR::porquerolles	Porquerolles			OK	H	
FR::port-en-bessin-huppain	Port-en-Bessin-Huppain			OK	H	correction trait d'union
FR::port-grimaud	Port Grimaud			OK	H	
FR::porticcio	Porticcio			OK	H	
FR::porto	Porto			OK	H	
FR::porto-vecchio	Porto-Vecchio			OK	H	correction trait d'union
FR::pradelles	Pradelles			OK	H	
FR::prats-de-mollo-la-preste	Prats-de-Mollo-la-Preste			OK	H	correction trait d'union
FR::propriano	Propriano			OK	H	
FR::provins	Provins			OK	H	
FR::pujols	Pujols			OK	H	
FR::puy-de-dome	Puy de Dôme			?	M	volcan/département, vérifier granularité
FR::puy-l-eveque	Puy-l'Évêque			OK	H	correction trait d'union et accent
FR::quiberon	Quiberon			OK	H	
FR::quillan	Quillan			OK	H	
FR::quimper	Quimper			OK	H	
FR::rambouillet	Rambouillet			OK	H	
FR::realmont	Réalmont			OK	H	correction accent
FR::reims	Reims			OK	H	
FR::relanges	Relanges			OK	H	
FR::remiremont	Remiremont			OK	H	
FR::rencurel	Rencurel			OK	H	
FR::rennes	Rennes			OK	H	
FR::rennes-le-chateau	Rennes-le-Château			OK	H	correction trait d'union et accent
FR::rethel	Rethel			OK	H	
FR::revin	Revin			OK	H	
FR::ribeauville	Ribeauvillé			OK	H	correction accent
FR::richelieu	Richelieu			OK	H	
FR::rieux-volvestre	Rieux-Volvestre			OK	H	correction trait d'union
FR::riez	Riez			OK	H	
FR::riom-es-montagnes	Riom-ès-Montagnes			OK	H	correction trait d'union
FR::riquewihr	Riquewihr			OK	H	
FR::riverie	Riverie			OK	H	
FR::roanne	Roanne			OK	H	
FR::rocamadour	Rocamadour			OK	H	
FR::rochechouart	Rochechouart			OK	H	
FR::rochecolombe	Rochecolombe			OK	H	
FR::rochefort	Rochefort			OK	H	
FR::rochefort-en-terre	Rochefort-en-Terre			OK	H	correction trait d'union
FR::rocroi	Rocroi			OK	H	
FR::rodez	Rodez			OK	H	
FR::rogliano	Rogliano			OK	H	
FR::romans-sur-isere	Romans-sur-Isère			OK	H	correction trait d'union et accent
FR::romorantin-lanthenay	Romorantin-Lanthenay			OK	H	correction trait d'union
FR::ronchamp	Ronchamp			OK	H	
FR::roquebrune-cap-martin	Roquebrune-Cap-Martin			OK	H	correction trait d'union
FR::roquefort-sur-soulzon	Roquefort-sur-Soulzon			OK	H	correction trait d'union
FR::roscoff	Roscoff			OK	H	
FR::rosheim	Rosheim			OK	H	
FR::roubaix	Roubaix			OK	H	
FR::rouen	Rouen			OK	H	
FR::rouffach	Rouffach			OK	H	
FR::rougemont-le-chateau	Rougemont-le-Château			OK	H	correction trait d'union et accent
FR::roussillon	Roussillon			OK	H	
FR::royan	Royan			OK	H	
FR::rue	Rue			OK	H	
FR::rueil-malmaison	Rueil-Malmaison			OK	H	correction trait d'union
FR::ruoms	Ruoms			OK	H	
FR::sable-sur-sarthe	Sablé-sur-Sarthe			OK	H	correction trait d'union et accent
FR::sabres	Sabres			OK	H	
FR::saignon	Saignon			OK	H	
FR::saint-affrique	Saint-Affrique			OK	H	correction trait d'union
FR::saint-amand-les-eaux	Saint-Amand-les-Eaux			OK	H	correction trait d'union
FR::saint-amand-montrond	Saint-Amand-Montrond			OK	H	correction trait d'union
FR::saint-andiol	Saint-Andiol			OK	H	correction trait d'union
FR::saint-antoine-l-abbaye	Saint-Antoine-l'Abbaye			OK	H	correction trait d'union et apostrophe
FR::saint-antonin-noble-val	Saint-Antonin-Noble-Val			OK	H	correction trait d'union
FR::saint-avold	Saint-Avold			OK	H	correction trait d'union
FR::saint-beat	Saint-Béat			OK	H	correction trait d'union et accent
FR::saint-benoit-du-sault	Saint-Benoît-du-Sault			OK	H	correction trait d'union et accent
FR::saint-bertrand-de-comminges	Saint-Bertrand-de-Comminges			OK	H	correction trait d'union
FR::saint-bonnet-le-chateau	Saint-Bonnet-le-Château			OK	H	correction trait d'union et accent
FR::saint-brieuc	Saint-Brieuc			OK	H	correction trait d'union
FR::saint-ceneri-le-gerei	Saint-Céneri-le-Gérei			OK	H	correction trait d'union et accent
FR::saint-cirq-lapopie	Saint-Cirq-Lapopie			OK	H	correction trait d'union
FR::saint-clar	Saint-Clar			OK	H	correction trait d'union
FR::saint-claude	Saint-Claude			OK	H	correction trait d'union
FR::saint-cloud	Saint-Cloud			OK	H	correction trait d'union
FR::saint-cyprien	Saint-Cyprien			OK	H	correction trait d'union
FR::saint-cyr-au-mont-dor	Saint-Cyr-au-Mont-d'Or			OK	H	correction trait d'union et apostrophe
```
